avrg_Velocity [km/h],avrg_Throttle [%],avrg_Motor Torque [Nm],avrg_Longitudinal Acceleration [m/s^2],avrg_Regenerative Braking Signal ,avrg_Battery Voltage [V],avrg_Battery Current [A],avrg_Battery Temperature [°C],avrg_Heating Power CAN [kW],avrg_Requested Heating Power [W],avrg_AirCon Power [kW],avrg_Heater Signal,avrg_Ambient Temperature [°C],avrg_Heat Exchanger Temperature [°C],avrg_Cabin Temperature Sensor [°C],Elevation change,Previous SoC,Previous displayed SoC,Next SoC,Next displayed SoC
1.0131666666666665,8.917666666666667,16.189833333333333,0.1271666666666667,0.0,391.261,-3.7693333333333334,21.0,0.0,85.0,0.39999999999999986,1.0,25.5,30.0875,24.5,0.0,86.9,100.0,86.9,100.0
5.299333333333332,23.95083333333333,13.7465,0.1501666666666667,0.0,391.16683333333333,-4.555999999999999,21.0,0.0,85.0,0.39999999999999986,1.0,25.521,29.5875,24.56083333333333,0.0,86.9,100.0,86.9,100.0
8.398333333333333,25.39166666666667,-1.7374999999999996,-0.15600000000000003,0.15,391.2696666666667,-3.092166666666666,21.0,0.0,85.0,0.41700000000000004,1.0,25.9965,29.170833333333334,24.66583333333334,0.0,86.9,100.0,86.9,100.0
9.401333333333334,34.76350000000001,35.69583333333333,0.40716666666666673,0.0,390.5251666666667,-12.083500000000003,21.0,0.0,85.0,0.4400000000000001,1.0,26.267500000000002,28.754166666666666,24.670000000000005,0.0,86.9,100.0,86.9,100.0
24.248666666666665,41.20166666666666,49.38533333333333,0.6888333333333333,0.0,388.87683333333337,-28.381333333333334,21.0,0.0,85.0,0.46900000000000003,1.0,26.5,28.491666666666667,24.670000000000005,0.0,86.9,100.0,86.8,100.0
32.885666666666665,38.12883333333335,19.73416666666667,0.19450000000000003,0.0,389.58483333333334,-17.474833333333333,21.0,0.0,85.0,0.48000000000000004,1.0,26.59916666666667,28.0125,24.696666666666662,0.0,86.8,100.0,86.8,100.0
36.448499999999996,37.37366666666666,13.902166666666664,0.08316666666666665,0.0,389.8045,-13.893333333333333,21.0,0.0,85.0,0.48000000000000004,1.0,27.0,27.5875,24.839999999999993,0.0,86.8,100.0,86.7,100.0
36.405,30.957833333333337,3.455500000000001,-0.09116666666666666,0.0,390.4445,-6.250500000000001,21.0,0.0,85.0,0.48000000000000004,1.0,27.0,27.170833333333334,24.839999999999993,0.0,86.7,100.0,86.7,100.0
27.964166666666664,25.055833333333332,-8.923999999999998,-0.31549999999999995,0.2185,391.3575,1.6595000000000006,21.0,0.0,85.0,0.48000000000000004,1.0,27.345833333333335,26.8375,24.898000000000003,0.0,86.7,100.0,86.7,100.0
33.93899999999999,36.68516666666666,29.611,0.3666666666666666,0.0,388.98316666666653,-23.281499999999998,21.0,0.0,85.0,0.48000000000000004,1.0,27.5,26.5,24.949666666666662,0.0,86.7,100.0,86.6,100.0
